------- unpacking binary ---------
extracting unpacked region 0x0000000000400000 (  118.6kB) wx entry 0x000000000041da64
******* Memory access clusters *******
0x0000000000400000 (  118.6kB) wx: ================================================================================
0x000000000061de00 (    4.5kB) w-: ===
0x00007f60f4a25038 (    3.9kB) w-: ==
0x00007f60f5075110 (    3.7kB) w-: ==
0x00007f60f4502688 (    2.8kB) w-: =
0x00007f60f57d9767 (    2.0kB) w-: =
0x00007f60f4819ce0 (    2.0kB) w-: =
0x00007f60f481a858 (    1.9kB) w-: =
0x0000000002215b48 (    1.5kB) w-: =
0x00007ffceb911b98 (    1.4kB) w-: 
0x00007ffceb913908 (    1.2kB) w-: 
0x00007f60f4a24b98 (     968B) w-: 
0x0000000002214008 (     648B) w-: 
0x00007f60f4818d90 (     624B) w-: 
0x00007f60f4817a18 (     600B) w-: 
0x00007f60f50727f8 (     600B) w-: 
0x0000000002215048 (     484B) w-: 
0x00007f60f4817158 (     448B) w-: 
0x00007f60f4819008 (     448B) w-: 
0x0000000002214ea8 (     412B) w-: 
0x00007f60f4816fb8 (     408B) w-: 
0x0000000002214d10 (     404B) w-: 
0x00007f60f4816e20 (     400B) w-: 
0x00007f60f4c58000 (     358B) w-: 
0x00007f60f5072620 (     328B) w-: 
0x00007f60f4817840 (     328B) w-: 
0x0000000002215330 (     308B) w-: 
0x00007f60f4816be0 (     304B) w-: 
0x000000000221a908 (     296B) w-: 
0x00007f60f4c592e0 (     272B) w-: 
0x00007f60f48158f0 (     272B) w-: 
0x00007f60f4817ea8 (     248B) w-: 
0x00007f60f4817c88 (     248B) w-: 
0x00007ffceb9136f8 (     244B) w-: 
0x00007f60f4503330 (     224B) w-: 
0x00007f60f45ff23d (     211B) w-: 
0x00007f60f45ff008 (     192B) w-: 
0x0000000002214bb0 (     188B) w-: 
0x00007f60f48189d8 (     184B) w-: 
0x00007f60f481a5b8 (     176B) w-: 
0x0000000002214a68 (     164B) w-: 
0x00007ffceb911ab8 (     164B) w-: 
0x00007f60f4816958 (     160B) w-: 
0x00007f60f4815c50 (     152B) w-: 
